year,global_avg_temp,city_avg_temp
1750,8.72,7.35
1751,7.98,6.46
1752,5.78,3.08
1753,8.39,6.18
1754,8.47,6.16
1755,8.36,5.82
1756,8.85,6.30
1757,9.02,6.51
1758,6.74,5.21
1759,7.99,6.58
1760,7.19,5.62
1761,8.77,6.88
1762,8.61,6.23
1763,7.50,5.61
1764,8.40,6.64
1765,8.25,6.17
1766,8.41,6.88
1767,8.22,5.69
1768,6.78,5.61
1769,7.69,5.93
1770,7.69,6.10
1771,7.85,5.17
1772,8.19,5.86
1773,8.22,7.51
1774,8.77,5.65
1775,9.18,7.86
1776,8.30,6.63
1777,8.26,5.83
1778,8.54,6.29
1779,8.98,8.06
1780,9.43,6.13
1781,8.10,6.96
1782,7.90,5.38
1783,7.68,6.97
1784,7.86,4.94
1785,7.36,4.92
1786,8.26,4.97
1787,8.03,6.25
1788,8.45,5.28
1789,8.33,6.99
1790,7.98,6.65
1791,8.23,7.44
1792,8.09,6.38
1793,8.23,6.77
1794,8.53,7.83
1795,8.35,5.56
1796,8.27,6.78
1797,8.51,7.67
1798,8.67,7.37
1799,8.51,4.73
1800,8.48,5.74
1801,8.59,6.80
1802,8.58,6.29
1803,8.50,5.39
1804,8.84,5.65
1805,8.56,5.00
1806,8.43,6.17
1807,8.28,6.21
1808,7.63,5.87
1809,7.08,5.25
1810,6.92,5.49
1811,6.86,7.06
1812,7.05,4.70
1813,7.74,6.39
1814,7.59,5.03
1815,7.24,6.08
1816,6.94,5.38
1817,6.98,6.20
1818,7.83,6.83
1819,7.37,7.15
1820,7.62,5.68
1821,8.09,6.46
1822,8.19,8.21
1823,7.72,6.41
1824,8.55,7.44
1825,8.39,6.90
1826,8.36,7.60
1827,8.81,6.59
1828,8.17,6.04
1829,7.94,4.14
1830,8.52,5.71
1831,7.64,6.26
1832,7.45,6.10
1833,8.01,6.54
1834,8.15,7.37
1835,7.39,6.22
1836,7.70,5.96
1837,7.38,5.70
1838,7.51,4.54
1839,7.63,5.74
1840,7.80,5.42
1841,7.69,6.21
1842,8.02,6.66
1843,8.17,6.60
1844,7.65,4.83
1845,7.85,5.55
1846,8.55,7.05
1847,8.09,6.03
1848,7.98,6.28
1849,7.98,5.56
1850,7.90,5.78
1851,8.18,6.39
1852,8.10,6.25
1853,8.04,5.82
1854,8.21,6.60
1855,8.11,5.09
1856,8.00,5.03
1857,7.76,6.76
1858,8.10,6.91
1859,8.25,7.34
1860,7.96,5.63
1861,7.85,6.25
1862,7.56,5.18
1863,8.11,7.47
1864,7.98,5.41
1865,8.18,6.05
1866,8.29,6.30
1867,8.44,4.15
1868,8.25,7.04
1869,8.43,6.34
1870,8.20,5.53
1871,8.12,4.46
1872,8.19,7.38
1873,8.35,6.89
1874,8.43,6.57
1875,7.86,4.82
1876,8.08,5.37
1877,8.54,5.14
1878,8.83,6.88
1879,8.17,5.39
1880,8.12,6.20
1881,8.27,4.56
1882,8.13,7.10
1883,7.98,6.36
1884,7.77,6.55
1885,7.92,5.90
1886,7.95,6.45
1887,7.91,6.49
1888,8.09,4.50
1889,8.32,6.15
1890,7.97,6.77
1891,8.02,6.56
1892,8.07,5.58
1893,8.06,5.32
1894,8.16,7.19
1895,8.15,5.99
1896,8.21,6.98
1897,8.29,6.51
1898,8.18,6.71
1899,8.40,6.05
1900,8.50,5.99
1901,8.54,6.80
1902,8.30,4.75
1903,8.22,6.72
1904,8.09,6.01
1905,8.23,6.59
1906,8.38,7.03
1907,7.95,5.83
1908,8.19,6.19
1909,8.18,5.69
1910,8.22,7.27
1911,8.18,7.22
1912,8.17,6.18
1913,8.30,7.28
1914,8.59,7.68
1915,8.59,5.11
1916,8.23,6.11
1917,8.02,5.77
1918,8.13,6.49
1919,8.38,5.83
1920,8.36,7.17
1921,8.57,7.19
1922,8.41,5.67
1923,8.42,5.75
1924,8.51,6.22
1925,8.53,6.97
1926,8.73,6.28
1927,8.52,6.31
1928,8.63,5.97
1929,8.24,5.92
1930,8.63,7.86
1931,8.72,5.60
1932,8.71,6.98
1933,8.34,6.61
1934,8.63,8.39
1935,8.52,7.09
1936,8.55,7.25
1937,8.70,7.38
1938,8.86,8.05
1939,8.76,7.36
1940,8.76,4.95
1941,8.77,4.83
1942,8.73,4.35
1943,8.76,7.72
1944,8.85,7.25
1945,8.58,7.06
1946,8.68,6.65
1947,8.80,6.10
1948,8.75,7.02
1949,8.59,8.10
1950,8.37,7.10
1951,8.63,6.99
1952,8.64,5.96
1953,8.87,7.68
1954,8.56,6.40
1955,8.63,6.24
1956,8.28,5.25
1957,8.73,6.68
1958,8.77,5.98
1959,8.73,7.69
1960,8.58,6.59
1961,8.80,7.74
1962,8.75,5.83
1963,8.86,5.85
1964,8.41,6.60
1965,8.53,5.84
1966,8.60,5.61
1967,8.70,7.03
1968,8.52,6.59
1969,8.60,6.06
1970,8.70,5.38
1971,8.60,6.77
1972,8.50,7.27
1973,8.95,7.24
1974,8.47,7.50
1975,8.74,8.27
1976,8.35,6.06
1977,8.85,6.35
1978,8.69,5.95
1979,8.73,5.85
1980,8.98,6.04
1981,9.17,6.20
1982,8.64,6.96
1983,9.03,7.44
1984,8.69,7.29
1985,8.66,4.85
1986,8.83,6.15
1987,8.99,4.99
1988,9.20,6.98
1989,8.92,8.35
1990,9.23,8.43
1991,9.18,7.49
1992,8.84,7.94
1993,8.87,6.98
1994,9.04,7.23
1995,9.35,7.17
1996,9.04,6.15
1997,9.20,7.66
1998,9.52,6.89
1999,9.29,8.02
2000,9.20,8.42
2001,9.41,7.48
2002,9.57,7.96
2003,9.53,7.46
2004,9.32,7.53
2005,9.70,7.72
2006,9.53,8.30
2007,9.73,8.16
2008,9.43,8.49
2009,9.51,7.54
2010,9.70,6.01
2011,9.52,8.18
2012,9.51,7.21
2013,9.61,7.10
